Handshake20: 0xf473
Hdr24: 0xf475
Headphones24: 0xf476
Headset24: 0xf478
Headphones28: 0xf477
Headset28: 0xf479
HeadsetVr20: 0xf47a
HeadsetVr24: 0xf47b
Handshake24: 0xf474
Heart24: 0xf47e
Highlight16: 0xf47f
Highlight20: 0xf480
DocumentHeaderFooter24: 0xf391
Highlight24: 0xf481
HighlightAccent16: 0xf482
HighlightAccent20: 0xf483
HighlightAccent24: 0xf484
History20: 0xf485
History24: 0xf486
Home20: 0xf487
Home24: 0xf488
Home28: 0xf489
Heart20: 0xf47d
HomeCheckmark24: 0xf48b
Icons20: 0xf48c
Icons24: 0xf48d
Image20: 0xf48f
Image16: 0xf48e
Image24: 0xf490
Image28: 0xf491
Image48: 0xf492
ImageAdd24: 0xf493
ImageAltText20: 0xf494
Heart16: 0xf47c
ImageCopy20: 0xf496
ImageCopy24: 0xf497
ImageCopy28: 0xf498
ImageEdit16: 0xf499
ImageEdit20: 0xf49a
ImageEdit24: 0xf49b
ImageOff24: 0xf49f
ImageSearch20: 0xf4a0
ImageSearch24: 0xf4a1
ImmersiveReader20: 0xf4a2
ImmersiveReader24: 0xf4a3
Important12: 0xf4a4
Important16: 0xf4a5
Important20: 0xf4a6
Important24: 0xf4a7
Incognito24: 0xf4a8
Info16: 0xf4a9
DualScreen24: 0xf3c8
Info24: 0xf4ab
Info28: 0xf4ac
InkingTool16: 0xf4ad
InkingTool20: 0xf4ae
InkingTool24: 0xf4af
InkingToolAccent16: 0xf4b0
InkingToolAccent20: 0xf4b1
InprivateAccount16: 0xf4b3
InkingToolAccent24: 0xf4b2
InprivateAccount20: 0xf4b4
InprivateAccount28: 0xf4b6
InprivateAccount24: 0xf4b5
Insert20: 0xf4b7
IosArrowLeft24: 0xf4ba
IosChevronRight20: 0xf4bc
HomeAdd24: 0xf48a
Javascript20: 0xf4be
Javascript24: 0xf4bf
Key20: 0xf4c0
Key24: 0xf4c1
Keyboard20: 0xf4c2
Keyboard24: 0xf4c3
KeyboardDock24: 0xf4c4
KeyboardLayoutFloat24: 0xf4c5
KeyboardLayoutOneHandedLeft24: 0xf4c6
KeyboardLayoutResize24: 0xf4c7
KeyboardLayoutSplit24: 0xf4c8
KeyboardShift24: 0xf4c9
KeyboardShiftUppercase24: 0xf4ca
KeyboardTab24: 0xf4cb
Laptop16: 0xf4cc
Laptop20: 0xf4cd
Laptop24: 0xf4ce
Laptop28: 0xf4cf
Lasso24: 0xf4d3
LauncherSettings24: 0xf4d4
Layer20: 0xf4d5
Layer24: 0xf4d6
LeafTwo16: 0xf4da
LeafTwo20: 0xf4db
LeafTwo24: 0xf4dc
Library24: 0xf4dd
Library28: 0xf4de
Lightbulb16: 0xf4df
Lightbulb20: 0xf4e0
